year,endo_all,endo_genetic,ipf_all,ipf_genetic
1930,0,0,0,0
1931,2,0,0,0
1932,0,0,0,0
1933,1,0,0,0
1934,1,0,0,0
1935,3,0,0,0
1936,1,0,0,0
1937,0,0,0,0
1938,2,0,0,0
1939,1,0,0,0
1940,1,0,0,0
1941,1,0,0,0
1942,0,0,0,0
1943,0,0,0,0
1944,1,0,0,0
1945,11,0,0,0
1946,46,0,0,0
1947,43,0,0,0
1948,58,0,1,0
1949,73,0,0,0
1950,57,0,1,0
1951,78,0,0,0
1952,53,0,0,0
1953,84,0,1,0
1954,68,0,1,0
1955,88,0,1,0
1956,70,0,1,0
1957,76,1,2,0
1958,56,0,0,0
1959,66,0,3,1
1960,74,0,2,0
1961,81,0,3,0
1962,106,1,3,0
1963,96,0,1,0
1964,142,0,6,2
1965,120,0,8,2
1966,102,0,6,0
1967,110,1,6,0
1968,119,2,7,0
1969,128,1,3,0
1970,125,0,3,0
1971,139,2,8,0
1972,132,2,4,0
1973,142,2,6,0
1974,126,1,13,0
1975,107,1,7,0
1976,118,1,8,2
1977,113,1,13,0
1978,131,2,15,1
1979,184,6,19,0
1980,196,3,20,1
1981,171,1,24,3
1982,212,2,22,1
1983,196,2,34,1
1984,246,4,33,0
1985,257,2,47,3
1986,287,4,43,2
1987,327,3,45,4
1988,335,3,50,3
1989,370,5,75,1
1990,430,9,75,6
1991,420,9,68,6
1992,395,11,69,6
1993,415,10,82,10
1994,455,14,76,4
1995,439,22,124,13
1996,463,20,123,10
1997,399,32,121,10
1998,455,36,125,11
1999,431,47,128,11
2000,455,49,152,13
2001,559,68,170,23
2002,527,93,169,20
2003,603,80,197,36
2004,583,99,195,21
2005,648,111,239,31
2006,718,111,285,48
2007,833,145,287,51
2008,905,165,338,57
2009,1033,199,386,62
2010,1108,215,430,77
2011,1078,216,479,95
2012,1053,217,529,114
2013,1144,236,648,167
2014,1212,254,700,162
2015,1359,260,818,194
2016,1242,263,867,173
2017,1317,258,1000,205
2018,1511,305,1054,236
2019,1492,346,1240,283
2020,1921,405,1339,318
2021,2123,408,1443,349
2022,2034,439,1432,361
2023,2174,430,1412,396
2024,2422,492,1423,414
